STRM,SUBJECT,CATALOG_NBR,LOCATION,ENRL_CAP,SSR_COMPONENT,ENRL_TOT,INSTRUCTORS
1021,CMPT,XX1,KAM,20,SEC,11,
1021,CMPT,100,BURNABY,50,LEC,34,
1021,CMPT,101,BURNABY,140,LEC,137,
1021,CMPT,101,BURNABY,140,LEC,98,
1021,CMPT,102,BURNABY,100,LEC,62,
1021,CMPT,104,BURNABY,10,LEC,2,
1021,CMPT,104,BURNABY,10,LEC,4,
1021,CMPT,110,BURNABY,100,LEC,95,
1021,CMPT,150,BURNABY,125,LEC,105,
1021,CMPT,150,BURNABY,14,TUT,13,
1021,CMPT,150,BURNABY,14,TUT,12,
1021,CMPT,150,BURNABY,19,TUT,16,
1021,CMPT,150,BURNABY,14,TUT,10,
1021,CMPT,150,BURNABY,19,TUT,16,
1021,CMPT,150,BURNABY,15,TUT,14,
1021,CMPT,150,BURNABY,15,TUT,12,
1021,CMPT,150,BURNABY,15,TUT,12,
1021,CMPT,150,BURNABY,132,LEC,92,
1021,CMPT,150,BURNABY,14,TUT,13,
1021,CMPT,150,BURNABY,14,TUT,12,
1021,STAT,899,BURNABY,20,SEC,6,
1024,CMPT,101,BURNABY,145,LEC,120,
1024,CMPT,101,BURNABY,5,LEC,0,
1024,CMPT,104,BURNABY,10,LEC,8,
1024,CMPT,110,BURNABY,125,LEC,98,
1024,CMPT,110,BURNABY,5,LEC,1,
1024,CMPT,150,BURNABY,120,LEC,78,
1024,CMPT,150,BURNABY,20,TUT,17,
1024,CMPT,150,BURNABY,17,TUT,14,
1024,CMPT,150,BURNABY,17,TUT,10,
1024,CMPT,150,BURNABY,10,TUT,5,
1024,CMPT,150,BURNABY,16,TUT,13,
1024,CMPT,150,BURNABY,20,TUT,15,
1024,CMPT,150,BURNABY,10,TUT,1,
1024,CMPT,150,BURNABY,10,TUT,3,
1024,CMPT,150,BURNABY,1,LEC,0,
1024,CMPT,165,BURNABY,110,LEC,104,
1024,CMPT,201,BURNABY,140,LEC,92,
1024,CMPT,201,BURNABY,1,LEC,1,
1024,CMPT,275,BURNABY,85,LEC,87,
1024,CMPT,275,BURNABY,5,LEC,0,
1024,CMPT,300,BURNABY,65,LEC,70,
1024,CMPT,300,BURNABY,5,LEC,1,
1024,CMPT,301,BURNABY,65,LEC,66,
1024,CMPT,307,BURNABY,65,LEC,66,
1024,CMPT,307,BURNABY,5,LEC,0,
1024,CMPT,320,BURNABY,65,LEC,68,
1024,CMPT,320,BURNABY,17,TUT,17,
1024,CMPT,320,BURNABY,18,TUT,17,
1024,CMPT,320,BURNABY,16,TUT,18,
1024,CMPT,320,BURNABY,14,TUT,16,
1024,CMPT,320,BURNABY,40,LEC,40,
1024,CMPT,320,BURNABY,20,TUT,20,
1024,CMPT,320,BURNABY,20,TUT,20,
1024,CMPT,340,BURNABY,60,LEC,53,
1024,CMPT,354,BURNABY,65,LEC,64,
1024,CMPT,354,BURNABY,60,LEC,37,
1024,CMPT,354,BURNABY,5,LEC,0,
1024,CMPT,363,BURNABY,65,LEC,67,
1024,CMPT,371,BURNABY,65,LEC,63,
1024,CMPT,371,BURNABY,5,LEC,0,
1024,CMPT,405,BURNABY,55,LEC,25,
1024,CMPT,413,BURNABY,65,LEC,63,
1024,CMPT,413,BURNABY,5,LEC,0,
1024,CMPT,415,BURNABY,10,SEC,4,
1024,CMPT,426,BURNABY,50,SEC,20,
1024,ENSC,194,BURNABY,10,SEC,1,
1024,ENSC,195,BURNABY,30,SEC,4,
1024,ENSC,196,BURNABY,30,SEC,10,
1027,CMPT,150,BURNABY,20,TUT,18,
1027,CMPT,150,BURNABY,20,TUT,13,
1027,CMPT,150,BURNABY,0,OPL,0,
1027,CMPT,165,BURNABY,160,TUT,154,
1027,CMPT,165,BURNABY,5,TUT,0,
1027,CMPT,201,BURNABY,160,LEC,129,
1027,CMPT,201,BURNABY,1,OPL,1,
1027,CMPT,201,BURNABY,0,OPL,0,
1027,CMPT,250,BURNABY,150,LEC,153,
1027,CMPT,250,BURNABY,20,TUT,21,
1027,CMPT,250,BURNABY,20,TUT,21,
1027,CMPT,250,BURNABY,20,TUT,19,
1027,CMPT,250,BURNABY,18,TUT,19,
1027,CMPT,250,BURNABY,18,TUT,19,
1027,CMPT,250,BURNABY,18,TUT,18,
1027,CMPT,250,BURNABY,18,TUT,18,
1027,CMPT,250,BURNABY,18,TUT,18,
1051,MATH,210,SURREY,24,TUT,6,Natalia Kouzniak
1051,MATH,232,BURNABY,300,LEC,235,Jonathan Jedwab
1051,MATH,232,SURREY,96,LEC,16,June Lester
1051,MATH,486,BURNABY,20,SEC,0,Egon Simons
1051,MATH,495,BURNABY,40,LEC,11,Steven Ruuth
1051,MATH,800,BURNABY,5,LEC,3,Michael Monagan
1051,MATH,821,BURNABY,20,LEC,6,Petr Lisonek
1051,MATH,833,BURNABY,20,LEC,5,Stephen Choi
1051,MATH,877,BURNABY,20,SEC,0,. Faculty
1051,MATH,890,BURNABY,6,SEC,0,Egon Simons
1051,MATH,891,BURNABY,6,SEC,0,Egon Simons
1051,MATH,892,BURNABY,6,SEC,0,Egon Simons
1051,MATH,893,BURNABY,6,SEC,0,Egon Simons
1051,MATH,894,BURNABY,6,SEC,0,
1051,MATH,895,BURNABY,6,SEC,3,
1051,MATH,895,BURNABY,6,SEC,1,
1051,MATH,895,BURNABY,6,SEC,1,
1051,MATH,896,BURNABY,6,SEC,0,
1051,MATH,897,BURNABY,6,SEC,0,
1051,MATH,898,BURNABY,35,SEC,12,
1051,MATH,899,BURNABY,35,SEC,11,
1051,PHYS,100,BURNABY,270,LEC,250,Oliver Pitts
1051,PHYS,100,BURNABY,18,TUT,18,
1051,PHYS,100,BURNABY,18,TUT,18,
1051,PHYS,100,BURNABY,18,TUT,18,
1051,PHYS,100,BURNABY,18,TUT,18,
1051,PHYS,100,BURNABY,18,TUT,18,
1051,PHYS,100,BURNABY,18,TUT,18,
1051,PHYS,100,BURNABY,18,TUT,18,
