STRM,SUBJECT,CATALOG_NBR,LOCATION,ENRL_CAP,SSR_COMPONENT,ENRL_TOT
1021,CMPT,XX1,KAM,20,SEC,11
1021,MATH,100,BURNABY,0,OPL,0
1021,PHYS,100,BURNABY,0,OPL,0
1021,PHYS,100,BURNABY,18,TUT,0
1021,MATH,100,BURNABY,5,OPL,1
1021,PHYS,100,BURNABY,18,TUT,16
1021,PHYS,100,BURNABY,18,TUT,17
1021,PHYS,100,BURNABY,18,TUT,18
1021,PHYS,100,BURNABY,18,TUT,19
1021,CMPT,100,BURNABY,50,LEC,34
1021,MATH,100,BURNABY,150,LEC,106
1021,PHYS,100,BURNABY,288,LEC,143
1021,PHYS,101,BURNABY,0,OPL,0
1021,STAT,101,BURNABY,0,OPL,0
1021,PHYS,899,BURNABY,40,SEC,29
1024,PHYS,100,BURNABY,0,OPL,0
1024,PHYS,100,BURNABY,18,TUT,9
1024,PHYS,100,BURNABY,18,TUT,11
1024,PHYS,100,BURNABY,18,TUT,13
1024,PHYS,100,BURNABY,18,TUT,15
1024,PHYS,100,BURNABY,18,TUT,17
1024,PHYS,100,BURNABY,18,TUT,18
1024,PHYS,100,BURNABY,108,LEC,83
1024,CMPT,101,BURNABY,5,LEC,0
1024,STAT,101,BURNABY,5,SEC,1
1024,STAT,101,BURNABY,60,SEC,47
1024,CMPT,101,BURNABY,145,LEC,120
1024,PHYS,221,BURNABY,0,TUT,0
1024,PHYS,221,BURNABY,32,TUT,21
1024,PHYS,221,BURNABY,40,TUT,28
1024,PHYS,221,BURNABY,72,LEC,49
1024,MATH,251,BURNABY,192,LEC,142
1024,MATH,252,BURNABY,0,TUT,0
1024,MATH,252,BURNABY,5,LEC,1
1024,MATH,252,BURNABY,0,TUT,2
1024,MATH,252,BURNABY,30,TUT,20
1024,MATH,252,BURNABY,30,TUT,22
1024,MATH,252,BURNABY,60,LEC,46
1024,STAT,270,BURNABY,0,OPL,0
1024,STAT,490,BURNABY,5,SEC,5
